Year,SeriesCode,Страна ,Age,Freq,Location,Sex,Type of speed,Value
2010,IT_NET_BBND,Hungary,,,,,10MBPS,5.58267
2010,IT_NET_BBND,Hungary,,,,,256KT2MBPS,2.64076
2011,IT_NET_BBND,Hungary,,,,,ANYS,23.23958
2011,IT_NET_BBND,Hungary,,,,,10MBPS,10.36992
2011,IT_NET_BBND,Hungary,,,,,2MT10MBPS,9.30394
2011,IT_NET_BBND,Hungary,,,,,256KT2MBPS,2.51079
2012,IT_NET_BBND,Hungary,,,,,2MT10MBPS,7.44624
2012,IT_NET_BBND,Hungary,,,,,256KT2MBPS,1.97047
2012,IT_NET_BBND,Hungary,,,,,10MBPS,13.57321
2017,IT_NET_BBND,Albania,,,,,ANYS,10.54444
2017,IT_NET_BBND,Albania,,,,,256KT2MBPS,0.40818
2017,IT_NET_BBND,Albania,,,,,10MBPS,2.14218
2018,IT_NET_BBND,Albania,,,,,256KT2MBPS,0.17157
2018,IT_NET_BBND,Albania,,,,,10MBPS,3.61024
2018,IT_NET_BBND,Albania,,,,,2MT10MBPS,8.79885
2018,IT_NET_BBND,Albania,,,,,ANYS,12.58065
2019,IT_NET_BBND,Albania,,,,,10MBPS,6.21344
2019,IT_NET_BBND,Albania,,,,,ANYS,15.17779
2017,IT_NET_BBND,Canada,,,,,256KT2MBPS,0.22319
2018,IT_NET_BBND,Canada,,,,,256KT2MBPS,0.12171
2018,IT_NET_BBND,Canada,,,,,2MT10MBPS,5.34856
2018,IT_NET_BBND,Canada,,,,,10MBPS,33.52585
2018,IT_NET_BBND,Canada,,,,,ANYS,39.00501
2019,IT_NET_BBND,Canada,,,,,ANYS,40.35483
2019,IT_NET_BBND,Canada,,,,,256KT2MBPS,0.19235
2019,IT_NET_BBND,Canada,,,,,2MT10MBPS,4.11224
2019,IT_NET_BBND,Canada,,,,,10MBPS,36.05024
2020,IT_NET_BBND,Canada,,,,,256KT2MBPS,0.10326
2020,IT_NET_BBND,Canada,,,,,2MT10MBPS,3.43773
2020,IT_NET_BBND,Canada,,,,,10MBPS,37.55891
2020,IT_NET_BBND,Canada,,,,,ANYS,41.0999
2021,IT_NET_BBND,Canada,,,,,ANYS,42.06971
2021,IT_NET_BBND,Canada,,,,,2MT10MBPS,2.66694
2021,IT_NET_BBND,Canada,,,,,10MBPS,39.14542
2021,IT_NET_BBND,Canada,,,,,256KT2MBPS,0.25735
2000,IT_NET_BBND,Chile,,,,,ANYS,0.05003
2012,IT_NET_BBND,Hungary,,,,,ANYS,24.1484
2013,IT_NET_BBND,Hungary,,,,,ANYS,26.24814
2013,IT_NET_BBND,Hungary,,,,,10MBPS,19.87841
2013,IT_NET_BBND,Hungary,,,,,2MT10MBPS,3.59552
2013,IT_NET_BBND,Hungary,,,,,256KT2MBPS,1.56621
2014,IT_NET_BBND,Hungary,,,,,256KT2MBPS,0.92793
2014,IT_NET_BBND,Hungary,,,,,2MT10MBPS,3.77743
2014,IT_NET_BBND,Hungary,,,,,10MBPS,21.44546
2014,IT_NET_BBND,Hungary,,,,,ANYS,26.15082
2019,IT_NET_BBND,Albania,,,,,2MT10MBPS,8.81626
2019,IT_NET_BBND,Albania,,,,,256KT2MBPS,0.14809
2020,IT_NET_BBND,Albania,,,,,10MBPS,11.95934
2020,IT_NET_BBND,Albania,,,,,ANYS,17.75249
2020,IT_NET_BBND,Albania,,,,,256KT2MBPS,0.05553
2020,IT_NET_BBND,Albania,,,,,2MT10MBPS,5.73763
2021,IT_NET_BBND,Albania,,,,,ANYS,19.59548
2021,IT_NET_BBND,Albania,,,,,2MT10MBPS,3.37449
2021,IT_NET_BBND,Albania,,,,,10MBPS,16.17951
2001,IT_NET_BBND,Chile,,,,,ANYS,0.42981
2002,IT_NET_BBND,Chile,,,,,ANYS,1.20082
2003,IT_NET_BBND,Chile,,,,,ANYS,2.22102
2004,IT_NET_BBND,Chile,,,,,ANYS,2.98966
2005,IT_NET_BBND,Chile,,,,,ANYS,4.38053
2006,IT_NET_BBND,Chile,,,,,ANYS,6.19328
2007,IT_NET_BBND,Chile,,,,,10MBPS,0.00247
2007,IT_NET_BBND,Chile,,,,,ANYS,7.89492
