Year,SeriesCode,Страна ,Education level,Location,Quantile,Value
2005,SE_AGP_CPRA,Belarus,UPPSEC,ALLAREA,_T,1.01333
2009,SE_AGP_CPRA,Albania,UPPSEC,RURAL,_T,0.76569
2009,SE_AGP_CPRA,Albania,LOWSEC,RURAL,_T,0.80228
2009,SE_AGP_CPRA,Albania,UPPSEC,RURAL,Q5,0.0
2009,SE_AGP_CPRA,Albania,UPPSEC,URBAN,Q1,0.0
2009,SE_AGP_CPRA,Albania,PRIMAR,RURAL,Q5,0.0
2009,SE_AGP_CPRA,Albania,PRIMAR,URBAN,Q1,0.0
2009,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,Q1,0.86104
2009,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,_T,0.9066
2000,SE_AGP_CPRA,Costa Rica,UPPSEC,ALLAREA,_T,1.08616
2000,SE_AGP_CPRA,Costa Rica,LOWSEC,ALLAREA,_T,1.08333
2000,SE_AGP_CPRA,Costa Rica,PRIMAR,ALLAREA,_T,1.02706
2001,SE_AGP_CPRA,Costa Rica,UPPSEC,ALLAREA,_T,1.11168
2001,SE_AGP_CPRA,Costa Rica,PRIMAR,ALLAREA,_T,1.02791
2001,SE_AGP_CPRA,Costa Rica,LOWSEC,ALLAREA,_T,1.09804
2002,SE_AGP_CPRA,Costa Rica,UPPSEC,ALLAREA,_T,1.1325
2002,SE_AGP_CPRA,Costa Rica,PRIMAR,RURAL,_T,1.0725
2002,SE_AGP_CPRA,Costa Rica,LOWSEC,RURAL,_T,1.328
2009,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,Q4,1.02076
2009,SE_AGP_CPRA,Albania,PRIMAR,URBAN,Q5,1.00034
2009,SE_AGP_CPRA,Albania,LOWSEC,URBAN,Q2,0.0
2009,SE_AGP_CPRA,Albania,PRIMAR,URBAN,Q3,1.00203
2009,SE_AGP_CPRA,Albania,LOWSEC,URBAN,Q4,1.08504
2009,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,Q5,1.00053
2009,SE_AGP_CPRA,Albania,LOWSEC,RURAL,Q1,0.81805
2009,SE_AGP_CPRA,Albania,PRIMAR,RURAL,Q3,1.0
2009,SE_AGP_CPRA,Albania,LOWSEC,RURAL,Q3,0.98766
2009,SE_AGP_CPRA,Albania,PRIMAR,RURAL,Q2,0.99648
2009,SE_AGP_CPRA,Albania,LOWSEC,RURAL,Q5,0.0
2009,SE_AGP_CPRA,Albania,PRIMAR,RURAL,Q1,1.00289
2009,SE_AGP_CPRA,Albania,LOWSEC,URBAN,_T,1.05283
2009,SE_AGP_CPRA,Albania,LOWSEC,RURAL,Q4,0.0
2009,SE_AGP_CPRA,Albania,LOWSEC,URBAN,Q1,0.0
2009,SE_AGP_CPRA,Albania,UPPSEC,RURAL,Q4,0.0
2018,SE_AGP_CPRA,Australia,PRIMAR,ALLAREA,_T,0.96356
2018,SE_AGP_CPRA,Australia,LOWSEC,ALLAREA,_T,0.99347
2018,SE_AGP_CPRA,Australia,UPPSEC,ALLAREA,_T,1.08007
2019,SE_AGP_CPRA,Australia,UPPSEC,ALLAREA,_T,1.06623
2019,SE_AGP_CPRA,Australia,LOWSEC,ALLAREA,_T,1.00506
2019,SE_AGP_CPRA,Australia,PRIMAR,ALLAREA,_T,1.00301
2020,SE_AGP_CPRA,Australia,PRIMAR,ALLAREA,_T,1.00301
2020,SE_AGP_CPRA,Australia,LOWSEC,ALLAREA,_T,1.00506
2020,SE_AGP_CPRA,Australia,UPPSEC,ALLAREA,_T,1.06593
2009,SE_AGP_CPRA,Albania,UPPSEC,RURAL,Q3,0.62646
2009,SE_AGP_CPRA,Albania,UPPSEC,RURAL,Q2,0.91287
2009,SE_AGP_CPRA,Albania,PRIMAR,URBAN,Q2,0.0
2009,SE_AGP_CPRA,Albania,LOWSEC,URBAN,Q5,0.99434
2009,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,Q5,1.04012
2009,SE_AGP_CPRA,Albania,UPPSEC,URBAN,Q4,1.01963
2009,SE_AGP_CPRA,Albania,PRIMAR,URBAN,_T,0.97971
2009,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,Q3,0.99165
2009,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,Q2,0.74362
