Year,SeriesCode,Country,Counterpart,Value
2020,SI_RMT_COST_BC,Sweden,LB,10.03986
2021,SI_RMT_COST_BC,Sweden,IN,5.9462
2021,SI_RMT_COST_BC,Sweden,CN,6.97875
2021,SI_RMT_COST_BC,Sweden,SO,10.92571
2021,SI_RMT_COST_BC,Sweden,LB,9.09087
2016,SI_RMT_COST_BC,Switzerland,LK,14.65857
2016,SI_RMT_COST_BC,Switzerland,HU,11.18695
2016,SI_RMT_COST_BC,Switzerland,AL,12.65886
2016,SI_RMT_COST_BC,Switzerland,XK,10.819
2016,SI_RMT_COST_BC,Switzerland,RS,16.36717
2017,SI_RMT_COST_BC,Switzerland,RS,15.70098
2017,SI_RMT_COST_BC,Switzerland,LK,8.98022
2017,SI_RMT_COST_BC,Switzerland,AL,11.27359
2017,SI_RMT_COST_BC,Switzerland,HU,8.87311
2017,SI_RMT_COST_BC,Switzerland,XK,6.07963
2018,SI_RMT_COST_BC,Switzerland,LK,6.06242
2018,SI_RMT_COST_BC,Switzerland,RS,11.50059
2018,SI_RMT_COST_BC,Switzerland,HU,8.9502
2018,SI_RMT_COST_BC,Switzerland,AL,10.62646
2018,SI_RMT_COST_BC,Switzerland,XK,8.33359
2019,SI_RMT_COST_BC,Switzerland,LK,6.47744
2019,SI_RMT_COST_BC,Switzerland,RS,8.65224
2019,SI_RMT_COST_BC,Switzerland,AL,10.47816
2019,SI_RMT_COST_BC,Switzerland,XK,7.34391
2019,SI_RMT_COST_BC,Switzerland,HU,8.60706
2020,SI_RMT_COST_BC,Switzerland,XK,8.56948
2020,SI_RMT_COST_BC,Switzerland,AL,10.0331
2020,SI_RMT_COST_BC,Switzerland,RS,7.68347
2020,SI_RMT_COST_BC,Switzerland,LK,5.76185
2020,SI_RMT_COST_BC,Switzerland,HU,8.8198
2021,SI_RMT_COST_BC,Switzerland,XK,6.45
2021,SI_RMT_COST_BC,Switzerland,HU,6.748
2021,SI_RMT_COST_BC,Switzerland,RS,5.34462
2021,SI_RMT_COST_BC,Switzerland,AL,7.59542
2021,SI_RMT_COST_BC,Switzerland,LK,5.0532
2016,SI_RMT_COST_BC,United Arab Emirates,PK,3.20853
2016,SI_RMT_COST_BC,United Arab Emirates,BD,2.68888
2016,SI_RMT_COST_BC,United Arab Emirates,IN,2.83599
2016,SI_RMT_COST_BC,United Arab Emirates,SD,0.26816
2016,SI_RMT_COST_BC,United Arab Emirates,LK,3.05123
2016,SI_RMT_COST_BC,United Arab Emirates,SS,6.7039
2016,SI_RMT_COST_BC,United Arab Emirates,ID,6.12346
2016,SI_RMT_COST_BC,United Arab Emirates,EG,3.6394
2016,SI_RMT_COST_BC,United Arab Emirates,PH,3.69114
2016,SI_RMT_COST_BC,United Arab Emirates,NP,3.68432
2016,SI_RMT_COST_BC,United Arab Emirates,JO,5.28724
2016,SI_RMT_COST_BC,United Arab Emirates,YE,4.14648
2017,SI_RMT_COST_BC,United Arab Emirates,JO,7.0198
2017,SI_RMT_COST_BC,United Arab Emirates,SS,2.37605
2017,SI_RMT_COST_BC,United Arab Emirates,ID,6.85231
2017,SI_RMT_COST_BC,United Arab Emirates,IN,3.01075
2017,SI_RMT_COST_BC,United Arab Emirates,BD,2.79589
2017,SI_RMT_COST_BC,United Arab Emirates,LK,4.64456
2017,SI_RMT_COST_BC,United Arab Emirates,YE,5.4224
2017,SI_RMT_COST_BC,United Arab Emirates,SD,2.37605
2017,SI_RMT_COST_BC,United Arab Emirates,NP,4.77628
2017,SI_RMT_COST_BC,United Arab Emirates,EG,4.14416
2017,SI_RMT_COST_BC,United Arab Emirates,PH,3.85831
2017,SI_RMT_COST_BC,United Arab Emirates,PK,4.02548
2018,SI_RMT_COST_BC,United Arab Emirates,BD,2.54563
2018,SI_RMT_COST_BC,United Arab Emirates,YE,5.24205
2018,SI_RMT_COST_BC,United Arab Emirates,ID,5.10028
2018,SI_RMT_COST_BC,United Arab Emirates,LK,2.5709
2018,SI_RMT_COST_BC,United Arab Emirates,PK,4.94662
2018,SI_RMT_COST_BC,United Arab Emirates,NP,4.27699
2018,SI_RMT_COST_BC,United Arab Emirates,EG,3.41265
2018,SI_RMT_COST_BC,United Arab Emirates,PH,2.94606
2018,SI_RMT_COST_BC,United Arab Emirates,SS,6.25015
2018,SI_RMT_COST_BC,United Arab Emirates,SD,5.58047
2018,SI_RMT_COST_BC,United Arab Emirates,IN,2.86032
2018,SI_RMT_COST_BC,United Arab Emirates,JO,3.58183
