Year,SeriesCode,Country,Sex,Value
2003,IC_GEN_MGTN_19ICLS,Denmark,Female,20.48
2004,IC_GEN_MGTN_19ICLS,Denmark,Female,20.62
2005,IC_GEN_MGTN_19ICLS,Denmark,Female,21.36
2006,IC_GEN_MGTN_19ICLS,Denmark,Female,20.36
2007,IC_GEN_MGTN_19ICLS,Denmark,Female,25.3
2008,IC_GEN_MGTN_19ICLS,Denmark,Female,19.42
2009,IC_GEN_MGTN_19ICLS,Denmark,Female,19.89
2010,IC_GEN_MGTN_19ICLS,Denmark,Female,19.14
2011,IC_GEN_MGTN_19ICLS,Denmark,Female,28.5
2012,IC_GEN_MGTN_19ICLS,Denmark,Female,28.56
2013,IC_GEN_MGTN_19ICLS,Denmark,Female,26.96
2014,IC_GEN_MGTN_19ICLS,Denmark,Female,25.86
2015,IC_GEN_MGTN_19ICLS,Denmark,Female,26.19
2016,IC_GEN_MGTN_19ICLS,Denmark,Female,28.01
2017,IC_GEN_MGTN_19ICLS,Denmark,Female,27.0
2018,IC_GEN_MGTN_19ICLS,Denmark,Female,26.33
2019,IC_GEN_MGTN_19ICLS,Denmark,Female,26.63
2020,IC_GEN_MGTN_19ICLS,Denmark,Female,28.03
2021,IC_GEN_MGTN_19ICLS,Denmark,Female,29.43
2000,IC_GEN_MGTN_19ICLS,Estonia,Female,34.83
2001,IC_GEN_MGTN_19ICLS,Estonia,Female,38.17
2002,IC_GEN_MGTN_19ICLS,Estonia,Female,37.17
2003,IC_GEN_MGTN_19ICLS,Estonia,Female,34.8
2004,IC_GEN_MGTN_19ICLS,Estonia,Female,41.23
2005,IC_GEN_MGTN_19ICLS,Estonia,Female,41.04
2006,IC_GEN_MGTN_19ICLS,Estonia,Female,39.63
2007,IC_GEN_MGTN_19ICLS,Estonia,Female,34.91
2008,IC_GEN_MGTN_19ICLS,Estonia,Female,36.6
2009,IC_GEN_MGTN_19ICLS,Estonia,Female,34.34
2010,IC_GEN_MGTN_19ICLS,Estonia,Female,38.37
2011,IC_GEN_MGTN_19ICLS,Estonia,Female,34.63
2012,IC_GEN_MGTN_19ICLS,Estonia,Female,31.62
2013,IC_GEN_MGTN_19ICLS,Estonia,Female,32.81
2014,IC_GEN_MGTN_19ICLS,Estonia,Female,30.84
2015,IC_GEN_MGTN_19ICLS,Estonia,Female,27.84
2016,IC_GEN_MGTN_19ICLS,Estonia,Female,31.63
2017,IC_GEN_MGTN_19ICLS,Estonia,Female,34.33
2018,IC_GEN_MGTN_19ICLS,Estonia,Female,33.24
2019,IC_GEN_MGTN_19ICLS,Estonia,Female,35.11
2020,IC_GEN_MGTN_19ICLS,Estonia,Female,35.83
2000,IC_GEN_MGTN_19ICLS,Finland,Female,27.55
2001,IC_GEN_MGTN_19ICLS,Finland,Female,29.74
2002,IC_GEN_MGTN_19ICLS,Finland,Female,30.23
2003,IC_GEN_MGTN_19ICLS,Finland,Female,30.93
2004,IC_GEN_MGTN_19ICLS,Finland,Female,30.68
2005,IC_GEN_MGTN_19ICLS,Finland,Female,32.82
2006,IC_GEN_MGTN_19ICLS,Finland,Female,33.61
2007,IC_GEN_MGTN_19ICLS,Finland,Female,32.06
2008,IC_GEN_MGTN_19ICLS,Finland,Female,32.36
2009,IC_GEN_MGTN_19ICLS,Finland,Female,35.42
2010,IC_GEN_MGTN_19ICLS,Finland,Female,32.75
2011,IC_GEN_MGTN_19ICLS,Finland,Female,32.01
2012,IC_GEN_MGTN_19ICLS,Finland,Female,30.57
2013,IC_GEN_MGTN_19ICLS,Finland,Female,31.26
2014,IC_GEN_MGTN_19ICLS,Finland,Female,33.31
2015,IC_GEN_MGTN_19ICLS,Finland,Female,37.2
2016,IC_GEN_MGTN_19ICLS,Finland,Female,30.68
2017,IC_GEN_MGTN_19ICLS,Finland,Female,33.05
2018,IC_GEN_MGTN_19ICLS,Finland,Female,30.96
2019,IC_GEN_MGTN_19ICLS,Finland,Female,33.37
2020,IC_GEN_MGTN_19ICLS,Finland,Female,40.82
2021,IC_GEN_MGTN_19ICLS,Finland,Female,35.61
2000,IC_GEN_MGTN_19ICLS,France,Female,31.55
2001,IC_GEN_MGTN_19ICLS,France,Female,32.56
2002,IC_GEN_MGTN_19ICLS,France,Female,34.49
2005,IC_GEN_MGTN_19ICLS,France,Female,36.37
2006,IC_GEN_MGTN_19ICLS,France,Female,37.01
2007,IC_GEN_MGTN_19ICLS,France,Female,36.46
2008,IC_GEN_MGTN_19ICLS,France,Female,36.79
2009,IC_GEN_MGTN_19ICLS,France,Female,37.37
2010,IC_GEN_MGTN_19ICLS,France,Female,38.59
2011,IC_GEN_MGTN_19ICLS,France,Female,39.13
2012,IC_GEN_MGTN_19ICLS,France,Female,39.2
2013,IC_GEN_MGTN_19ICLS,France,Female,35.58
2014,IC_GEN_MGTN_19ICLS,France,Female,32.03
2015,IC_GEN_MGTN_19ICLS,France,Female,30.93
2016,IC_GEN_MGTN_19ICLS,France,Female,31.07
2017,IC_GEN_MGTN_19ICLS,France,Female,32.64
2018,IC_GEN_MGTN_19ICLS,France,Female,34.38
2019,IC_GEN_MGTN_19ICLS,France,Female,34.3
2020,IC_GEN_MGTN_19ICLS,France,Female,34.95
2021,IC_GEN_MGTN_19ICLS,France,Female,36.76
2020,IC_GEN_MGTN_19ICLS,Georgia,Female,33.76
2021,IC_GEN_MGTN_19ICLS,Georgia,Female,33.9
2000,IC_GEN_MGTN_19ICLS,Germany,Female,20.75
2001,IC_GEN_MGTN_19ICLS,Germany,Female,20.55
2002,IC_GEN_MGTN_19ICLS,Germany,Female,22.09
2003,IC_GEN_MGTN_19ICLS,Germany,Female,23.14
2004,IC_GEN_MGTN_19ICLS,Germany,Female,22.75
2005,IC_GEN_MGTN_19ICLS,Germany,Female,23.51
2006,IC_GEN_MGTN_19ICLS,Germany,Female,23.74
2007,IC_GEN_MGTN_19ICLS,Germany,Female,23.13
2008,IC_GEN_MGTN_19ICLS,Germany,Female,26.85
2009,IC_GEN_MGTN_19ICLS,Germany,Female,25.03
2010,IC_GEN_MGTN_19ICLS,Germany,Female,26.26
2011,IC_GEN_MGTN_19ICLS,Germany,Female,24.68
2012,IC_GEN_MGTN_19ICLS,Germany,Female,27.14
2013,IC_GEN_MGTN_19ICLS,Germany,Female,27.39
2014,IC_GEN_MGTN_19ICLS,Germany,Female,27.53
2015,IC_GEN_MGTN_19ICLS,Germany,Female,27.56
2016,IC_GEN_MGTN_19ICLS,Germany,Female,28.23
2017,IC_GEN_MGTN_19ICLS,Germany,Female,27.95
2018,IC_GEN_MGTN_19ICLS,Germany,Female,28.22
2019,IC_GEN_MGTN_19ICLS,Germany,Female,28.76
2020,IC_GEN_MGTN_19ICLS,Germany,Female,27.96
2021,IC_GEN_MGTN_19ICLS,Germany,Female,26.53
2000,IC_GEN_MGTN_19ICLS,Greece,Female,25.0
2001,IC_GEN_MGTN_19ICLS,Greece,Female,24.81
2002,IC_GEN_MGTN_19ICLS,Greece,Female,25.33
2003,IC_GEN_MGTN_19ICLS,Greece,Female,26.36
2004,IC_GEN_MGTN_19ICLS,Greece,Female,25.76
2005,IC_GEN_MGTN_19ICLS,Greece,Female,26.36
2006,IC_GEN_MGTN_19ICLS,Greece,Female,26.66
2007,IC_GEN_MGTN_19ICLS,Greece,Female,28.03
2008,IC_GEN_MGTN_19ICLS,Greece,Female,28.3
