Year,SeriesCode,Country,Activity,Sex,Value
2019,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Female,6.9
2019,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Male,35.16
2019,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Female,27.48
2019,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Male,14.94
2019,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Male,4.47
2019,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Female,6.51
2019,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Both sexes,5.61
2019,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Both sexes,5.01
2019,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Female,5.68
2019,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Both sexes,20.44
2019,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Female,8.54
2019,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Female,53.88
2019,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,11.95
2019,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Both sexes,40.1
2019,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Both sexes,8.41
2019,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Both sexes,10.37
2019,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Male,9.8
2020,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,11.65
2020,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Both sexes,24.57
2020,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Female,26.05
2020,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Male,23.11
2020,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Both sexes,58.02
2020,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Female,62.68
2020,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Male,24.41
2020,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Male,56.35
2020,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Female,26.59
2020,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Both sexes,25.48
