Year,SeriesCode,GeoAreaName,Activity,Value
2009,FC_ACC_SSID,Kazakhstan,ISIC4_C,13.33
2013,FC_ACC_SSID,Kazakhstan,ISIC4_C,12.7
2019,FC_ACC_SSID,Kazakhstan,ISIC4_C,17.93
2009,FC_ACC_SSID,Kyrgyzstan,ISIC4_C,18.95
2013,FC_ACC_SSID,Kyrgyzstan,ISIC4_C,15.3
2019,FC_ACC_SSID,Kyrgyzstan,ISIC4_C,20.21
2009,FC_ACC_SSID,Latvia,ISIC4_C,34.81
2013,FC_ACC_SSID,Latvia,ISIC4_C,10.46
2019,FC_ACC_SSID,Latvia,ISIC4_C,15.08
2009,FC_ACC_SSID,Lithuania,ISIC4_C,33.38
2013,FC_ACC_SSID,Lithuania,ISIC4_C,26.11
2019,FC_ACC_SSID,Lithuania,ISIC4_C,19.5
2020,FC_ACC_SSID,Luxembourg,ISIC4_C,55.57
2019,FC_ACC_SSID,Malta,ISIC4_C,27.28
2006,FC_ACC_SSID,Mexico,ISIC4_C,14.07
2010,FC_ACC_SSID,Mexico,ISIC4_C,15.45
2009,FC_ACC_SSID,Republic of Moldova,ISIC4_C,48.56
2013,FC_ACC_SSID,Republic of Moldova,ISIC4_C,34.87
2019,FC_ACC_SSID,Republic of Moldova,ISIC4_C,7.3
2009,FC_ACC_SSID,Montenegro,ISIC4_C,52.18
2013,FC_ACC_SSID,Montenegro,ISIC4_C,61.11
2019,FC_ACC_SSID,Montenegro,ISIC4_C,35.86
2020,FC_ACC_SSID,Netherlands (Kingdom of the),ISIC4_C,36.03
2009,FC_ACC_SSID,Poland,ISIC4_C,47.43
2013,FC_ACC_SSID,Poland,ISIC4_C,23.86
2019,FC_ACC_SSID,Poland,ISIC4_C,33.81
2019,FC_ACC_SSID,Portugal,ISIC4_C,57.02
2009,FC_ACC_SSID,Romania,ISIC4_C,29.92
2013,FC_ACC_SSID,Romania,ISIC4_C,40.36
2019,FC_ACC_SSID,Romania,ISIC4_C,39.68
2009,FC_ACC_SSID,Serbia,ISIC4_C,62.86
2013,FC_ACC_SSID,Serbia,ISIC4_C,55.19
2019,FC_ACC_SSID,Serbia,ISIC4_C,48.22
2009,FC_ACC_SSID,Slovakia,ISIC4_C,50.75
2013,FC_ACC_SSID,Slovakia,ISIC4_C,45.79
2019,FC_ACC_SSID,Slovakia,ISIC4_C,24.35
2009,FC_ACC_SSID,Viet Nam,ISIC4_C,30.64
2015,FC_ACC_SSID,Viet Nam,ISIC4_C,37.28
2009,FC_ACC_SSID,Slovenia,ISIC4_C,67.23
2013,FC_ACC_SSID,Slovenia,ISIC4_C,66.0
2019,FC_ACC_SSID,Slovenia,ISIC4_C,68.71
2021,FC_ACC_SSID,Spain,ISIC4_C,77.52
2014,FC_ACC_SSID,Sweden,ISIC4_C,41.34
2020,FC_ACC_SSID,Sweden,ISIC4_C,39.68
2008,FC_ACC_SSID,Tajikistan,ISIC4_C,21.9
2013,FC_ACC_SSID,Tajikistan,ISIC4_C,14.31
2019,FC_ACC_SSID,Tajikistan,ISIC4_C,19.89
2008,FC_ACC_SSID,Türkiye,ISIC4_C,45.56
2013,FC_ACC_SSID,Türkiye,ISIC4_C,46.3
2019,FC_ACC_SSID,Türkiye,ISIC4_C,31.3
2008,FC_ACC_SSID,Ukraine,ISIC4_C,17.63
2013,FC_ACC_SSID,Ukraine,ISIC4_C,16.82
2019,FC_ACC_SSID,Ukraine,ISIC4_C,12.46
2009,FC_ACC_SSID,North Macedonia,ISIC4_C,61.16
2013,FC_ACC_SSID,North Macedonia,ISIC4_C,41.96
2019,FC_ACC_SSID,North Macedonia,ISIC4_C,46.19
2008,FC_ACC_SSID,Uzbekistan,ISIC4_C,8.48
2013,FC_ACC_SSID,Uzbekistan,ISIC4_C,25.75
2019,FC_ACC_SSID,Uzbekistan,ISIC4_C,20.7
2019,FC_ACC_SSID,Uzbekistan,ISIC4_C,20.7
