Year,SeriesCode,Country,Activity,Level of requirement,Value
2020,EN_SCP_FRMN,Australia,ISIC4_L,TOTAL,18
2020,EN_SCP_FRMN,Australia,ISIC4_F,TOTAL,6
2021,EN_SCP_FRMN,Australia,ISIC4_A,TOTAL,4
2021,EN_SCP_FRMN,Australia,ISIC4_Q,TOTAL,6
2021,EN_SCP_FRMN,Australia,ISIC4_L,TOTAL,20
2021,EN_SCP_FRMN,Australia,ISIC4_K,TOTAL,31
2021,EN_SCP_FRMN,Australia,ISIC4_I,TOTAL,3
2021,EN_SCP_FRMN,Australia,ISIC4_F,TOTAL,9
2021,EN_SCP_FRMN,Australia,TOTAL,TOTAL,242
2021,EN_SCP_FRMN,Australia,ISIC4_M,TOTAL,12
2021,EN_SCP_FRMN,Australia,ISIC4_N,TOTAL,4
2021,EN_SCP_FRMN,Australia,ISIC4_S,TOTAL,2
2021,EN_SCP_FRMN,Australia,ISIC4_C,TOTAL,35
2021,EN_SCP_FRMN,Australia,ISIC4_G,TOTAL,240
2021,EN_SCP_FRMN,Australia,ISIC4_R,TOTAL,4
2021,EN_SCP_FRMN,Australia,ISIC4_B,TOTAL,63
2021,EN_SCP_FRMN,Australia,ISIC4_J,TOTAL,19
2021,EN_SCP_FRMN,Australia,ISIC4_H,TOTAL,6
2016,EN_SCP_FRMN,Austria,ISIC4_G,TOTAL,15
2016,EN_SCP_FRMN,Austria,ISIC4_K,TOTAL,3
2016,EN_SCP_FRMN,Austria,ISIC4_B,TOTAL,1
2016,EN_SCP_FRMN,Austria,TOTAL,TOTAL,15
2016,EN_SCP_FRMN,Austria,ISIC4_C,TOTAL,6
2016,EN_SCP_FRMN,Austria,ISIC4_J,TOTAL,1
2016,EN_SCP_FRMN,Austria,ISIC4_L,TOTAL,1
2016,EN_SCP_FRMN,Austria,ISIC4_H,TOTAL,1
2016,EN_SCP_FRMN,Austria,ISIC4_F,TOTAL,1
2017,EN_SCP_FRMN,Austria,ISIC4_C,TOTAL,6
2017,EN_SCP_FRMN,Austria,ISIC4_K,TOTAL,4
2017,EN_SCP_FRMN,Austria,ISIC4_H,TOTAL,1
2017,EN_SCP_FRMN,Austria,ISIC4_J,TOTAL,1
2017,EN_SCP_FRMN,Austria,ISIC4_B,TOTAL,1
2017,EN_SCP_FRMN,Austria,ISIC4_F,TOTAL,1
2017,EN_SCP_FRMN,Austria,TOTAL,TOTAL,17
2017,EN_SCP_FRMN,Austria,ISIC4_L,TOTAL,2
2017,EN_SCP_FRMN,Austria,ISIC4_G,TOTAL,17
2018,EN_SCP_FRMN,Austria,ISIC4_K,TOTAL,5
2018,EN_SCP_FRMN,Austria,ISIC4_J,TOTAL,1
2018,EN_SCP_FRMN,Austria,ISIC4_B,TOTAL,1
2018,EN_SCP_FRMN,Austria,ISIC4_F,TOTAL,2
2018,EN_SCP_FRMN,Austria,ISIC4_G,TOTAL,28
2018,EN_SCP_FRMN,Austria,TOTAL,TOTAL,28
2018,EN_SCP_FRMN,Austria,ISIC4_C,TOTAL,13
2018,EN_SCP_FRMN,Austria,ISIC4_H,TOTAL,1
2018,EN_SCP_FRMN,Austria,ISIC4_L,TOTAL,3
2019,EN_SCP_FRMN,Austria,ISIC4_H,TOTAL,1
2019,EN_SCP_FRMN,Austria,ISIC4_F,TOTAL,2
2019,EN_SCP_FRMN,Austria,ISIC4_B,TOTAL,1
2019,EN_SCP_FRMN,Austria,ISIC4_C,TOTAL,16
2019,EN_SCP_FRMN,Austria,TOTAL,TOTAL,32
2019,EN_SCP_FRMN,Austria,ISIC4_L,TOTAL,3
2019,EN_SCP_FRMN,Austria,ISIC4_I,TOTAL,1
2019,EN_SCP_FRMN,Austria,ISIC4_K,TOTAL,5
2019,EN_SCP_FRMN,Austria,ISIC4_G,TOTAL,32
2019,EN_SCP_FRMN,Austria,ISIC4_J,TOTAL,1
2020,EN_SCP_FRMN,Austria,ISIC4_K,TOTAL,5
2020,EN_SCP_FRMN,Austria,ISIC4_L,TOTAL,3
2020,EN_SCP_FRMN,Austria,ISIC4_F,TOTAL,2
2020,EN_SCP_FRMN,Austria,ISIC4_I,TOTAL,1
2020,EN_SCP_FRMN,Austria,ISIC4_J,TOTAL,1
2020,EN_SCP_FRMN,Austria,ISIC4_H,TOTAL,2
2020,EN_SCP_FRMN,Austria,ISIC4_C,TOTAL,16
2020,EN_SCP_FRMN,Austria,ISIC4_G,TOTAL,34
2020,EN_SCP_FRMN,Austria,TOTAL,TOTAL,34
